,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
34,5,6,5,6,5,5,6,5,5,4,0,1,0,0,0,5,0,0,0,0,20,8,14,10,17,10,4,11,19,29,,-9040.0,,,,-14050.0,,,,
35,5,6,5,6,4,5,6,5,5,4,0,1,0,0,0,5,0,0,0,0,20,20,14,10,17,15,4,11,19,19,,,,,-5085.0,,,,,
36,5,6,5,5,4,5,6,5,5,4,0,1,0,0,0,5,0,0,0,0,20,20,14,10,28,15,4,11,19,19,,,,-6050.0,,,,,,
37,5,6,5,5,4,5,6,5,5,4,0,1,0,0,0,0,0,0,0,0,20,20,14,24,28,10,4,11,19,19,-5100.0,,,,,,-5020.0,-5055.0,,
38,5,6,5,5,4,5,6,5,5,4,0,0,0,0,0,0,0,0,0,0,20,11,14,24,18,10,23,22,19,19,,,-4070.0,,,,,,-5095.0,
39,5,6,5,5,4,5,6,5,5,4,0,0,0,0,0,0,0,0,0,0,20,11,27,14,18,10,23,22,29,19,,,,,,,,,,
40,5,6,5,5,4,5,6,5,5,9,0,0,0,0,0,0,0,0,0,0,10,11,27,14,18,10,23,12,29,19,,,,,,,,,,-3095.0
41,5,6,5,5,4,5,6,5,5,9,0,0,0,0,0,0,5,0,0,0,10,11,17,14,18,10,8,12,19,21,,,,,,,,,,
42,5,4,5,5,4,5,5,5,5,9,0,0,0,0,0,0,5,0,0,0,10,11,17,14,18,10,8,12,19,21,,-6055.0,,,,,-61040.0,,,
43,5,4,5,5,4,5,5,5,5,9,0,0,0,0,0,0,5,0,0,0,10,25,17,14,18,10,20,12,19,21,,,,,-4090.0,,,,,
44,5,4,5,4,4,5,5,5,5,4,0,0,0,0,0,0,5,0,0,10,10,25,17,14,24,10,20,12,19,1,-5050.0,,-5085.0,-5070.0,,-5050.0,,-5060.0,-4095.0,-118005.0
45,5,4,5,4,4,5,5,5,5,4,0,0,0,0,0,0,0,0,0,0,26,15,22,29,24,24,15,21,29,28,,,,,,,,,,
46,5,4,5,4,4,5,5,5,5,4,0,0,0,0,1,0,0,0,0,0,26,15,22,29,13,24,15,21,29,28,,,,,,,,,,
47,5,4,5,4,4,5,5,5,5,4,0,0,0,1,1,0,0,0,0,1,16,15,12,18,13,14,15,11,19,27,,,,,,,,,,
48,5,4,5,4,4,5,5,5,5,4,0,0,0,1,1,0,0,0,0,1,16,15,12,18,13,14,15,11,19,27,,,,,,,,,,
49,5,4,5,4,4,5,5,5,5,4,0,0,0,1,1,0,0,0,0,1,16,15,12,18,13,14,15,11,19,27,,,,,,,-5075.0,,,
50,5,5,5,4,4,4,5,5,5,4,0,0,0,1,1,0,0,0,0,1,16,15,12,18,13,14,29,11,19,27,,-4075.0,-5060.0,,,-5070.0,,-5055.0,,
51,5,5,5,5,7,4,5,5,5,4,0,0,0,1,1,0,0,0,0,1,16,24,24,18,13,29,29,22,19,27,-5080.0,,,-5090.0,-4065.0,,,,-5095.0,
52,5,5,5,5,7,4,5,5,5,4,0,0,0,1,1,0,0,0,0,1,21,24,24,22,20,29,19,22,29,27,,,,,,,,,,
53,5,5,5,5,7,4,5,5,5,6,0,0,0,1,1,0,0,0,0,1,21,14,14,22,20,19,19,12,29,27,,,,,,,,,,-5135.0
54,5,5,5,5,7,4,5,5,5,6,0,0,0,0,1,0,0,0,0,1,11,14,14,13,10,19,19,12,19,29,,,,,,,,,,
55,5,5,5,5,4,4,5,5,5,6,0,0,0,0,1,0,0,0,0,1,11,14,14,13,10,19,19,12,19,29,,,,,-8050.0,,,,,
56,5,4,5,5,4,4,5,5,5,6,0,0,0,0,1,0,0,0,0,1,11,14,14,13,28,19,19,12,19,19,,-5070.0,,-4065.0,,,,,,
57,5,4,5,5,4,8,5,5,5,6,0,0,0,0,1,0,0,0,0,1,11,27,14,22,28,19,19,12,19,19,,,,,,-3095.0,,-5060.0,,
58,5,4,5,5,4,8,5,5,5,5,0,0,0,0,0,0,0,0,0,1,11,27,14,22,19,26,19,21,19,19,,,-5070.0,,,,-4095.0,,-5095.0,-7095.0
59,5,4,5,5,4,8,5,5,5,5,0,0,0,0,0,0,0,0,0,1,11,17,26,12,19,26,24,21,29,24,-4055.0,,,,,,,,,
60,5,4,5,5,4,4,5,5,5,5,0,0,0,0,0,3,0,0,0,1,22,17,26,12,19,13,24,11,29,24,,,,,,-61065.0,,,,
61,5,4,5,5,4,4,5,5,5,5,0,0,0,0,0,3,0,0,0,2,22,17,16,12,19,25,14,11,19,13,,,,,,,,,,
62,5,4,5,5,4,4,5,5,5,5,0,0,0,0,0,3,0,0,0,2,12,17,16,12,19,25,14,11,19,13,,,,-5060.0,,,,,,
63,5,4,5,5,5,4,5,5,5,5,0,0,0,0,0,2,0,0,0,2,12,17,16,26,19,16,14,11,19,13,,,,,-4095.0,,,,,
64,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,2,0,0,0,2,12,17,16,26,26,16,14,11,19,13,,-4085.0,-5080.0,,,,,-4055.0,,
65,4,5,5,5,5,4,4,5,5,4,0,0,0,0,0,2,0,0,0,2,12,23,20,16,26,16,14,21,19,13,-5060.0,,,,,,-4070.0,,,-6065.0
