,meanReorderPoints,node1InventoryMeans,node0InventoryMeans,rewardMeans
0,2.997002997002997,12.333333333333334,0.9866666666666667,-3695.0
1,2.008991008991009,14.387755102040817,3.9591836734693877,-6031.122448979592
2,2.01998001998002,13.393333333333333,3.4266666666666667,-5253.633333333333
3,3.017982017982018,15.932432432432432,0.9797297297297297,-3735.0675675675675
4,2.3726273726273726,12.68,2.5933333333333333,-4683.4
5,2.016983016983017,14.416107382550335,3.9261744966442955,-5770.067114093959
6,2.011988011988012,15.416107382550335,0.0,-1761.6442953020135
7,2.018981018981019,15.912162162162161,0.9662162162162162,-2741.722972972973
8,3.026973026973027,12.966442953020135,1.9932885906040267,-4803.087248322147
9,2.0,11.938775510204081,0.9863945578231292,-2794.387755102041
