,meanReorderPoints,node1InventoryMeans,node0InventoryMeans,rewardMeans
0,0.999000999000999,14.93969849246231,0.9798994974874372,-1175.2010050251256
1,1.011988011988012,13.92964824120603,0.0,-190.25125628140702
2,0.5044955044955045,13.422110552763819,0.49246231155778897,-680.1758793969849
3,0.01998001998001998,14.93969849246231,0.0,-195.30150753768845
4,0.022977022977022976,11.974874371859297,0.0,-180.47738693467338
5,0.8061938061938062,12.43718592964824,2.1557788944723617,-525.2261306532663
6,0.6823176823176823,11.64824120603015,0.0,-178.84422110552765
7,0.4175824175824176,16.86934673366834,1.3718592964824121,-1576.8090452261306
8,0.022977022977022976,17.90954773869347,0.0,-210.15075376884423
9,0.8121878121878122,16.331658291457288,0.20100502512562815,-403.26633165829145
