,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
33,4,6,6,4,11,5,4,4,2,5,3,2,0,0,1,0,0,0,0,0,12,10,21,11,28,18,15,19,13,16,,-8050.0,,,,-6090.0,-6075.0,,-6065.0,
34,7,6,6,4,4,5,4,4,2,3,3,2,0,0,0,0,0,0,0,0,12,14,21,11,19,25,20,19,27,16,-7060.0,,,,-28095.0,,,-4095.0,,-4080.0
35,7,6,6,4,4,5,4,4,2,3,3,2,1,0,0,0,0,0,0,0,12,14,10,11,22,25,20,21,27,25,,,,-4055.0,,,,,,
36,7,6,2,4,4,5,4,4,2,3,3,1,1,0,0,2,1,0,0,0,12,5,10,21,22,13,9,21,17,25,,,-47050.0,,,,,,,
37,7,6,2,4,4,5,4,4,2,3,0,1,1,0,1,2,1,0,0,0,5,5,25,21,11,13,9,11,17,15,,,,,,,,,,
38,5,2,2,4,4,5,4,4,2,3,0,1,1,0,1,2,1,0,0,0,5,5,25,11,11,13,9,11,17,15,-6025.0,-7025.0,,,,,,,,
39,5,2,2,4,4,7,5,4,2,3,0,1,0,0,1,2,1,0,0,0,25,24,16,11,11,13,9,11,17,15,,,,,,-6065.0,-5045.0,-4055.0,,
40,5,2,2,4,4,7,5,4,10,4,0,1,0,0,1,2,1,0,0,0,25,24,16,11,11,14,21,23,17,15,,,,-4055.0,,,,,-2085.0,-2075.0
41,5,2,2,4,4,7,5,4,10,4,0,1,0,0,1,2,1,0,0,0,25,24,16,21,11,14,21,23,17,22,,,,,-5055.0,,,,,
42,5,2,2,4,4,7,5,4,10,4,0,2,0,0,1,0,0,0,0,0,15,13,16,21,28,6,12,13,17,22,,,,,,,,,,
