,meanReorderPoints,node1InventoryMeans,node0InventoryMeans,rewardMeans
0,3.9740259740259742,2.4558823529411766,11.609756097560975,-12501.464285714286
1,3.8931068931068933,1.8865248226950355,12.360655737704919,-12813.978873239437
2,4.067932067932068,2.4814814814814814,10.508474576271187,-14677.610294117647
3,4.081918081918082,2.259259259259259,11.258620689655173,-14040.392857142857
4,3.6863136863136865,2.253731343283582,11.361344537815127,-14901.304347826086
5,3.7482517482517483,2.5073529411764706,11.203389830508474,-13199.82269503546
6,4.421578421578421,1.7285714285714286,11.40677966101695,-12936.514084507042
7,3.913086913086913,2.857142857142857,10.179487179487179,-14673.156028368794
8,3.937062937062937,2.4074074074074074,10.675213675213675,-12897.323943661971
9,4.025974025974026,2.3059701492537314,10.774774774774775,-12673.525179856115
