,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
34,5,1,2,2,3,2,6,4,3,0,2,3,3,8,6,6,0,1,0,0,11,13,29,28,17,26,5,27,23,22,,,,,,,,,,
35,1,1,2,2,5,2,6,4,3,0,2,3,1,8,6,6,0,1,0,0,11,13,21,28,17,26,5,27,23,22,-7055.0,,,,-9085.0,,,,,
36,1,1,2,2,5,2,1,4,3,0,2,3,1,11,6,10,0,2,0,7,27,13,21,15,17,12,5,16,23,5,,,,,,,-5025.0,,,
37,1,5,2,2,5,2,1,4,3,0,2,3,1,11,6,10,0,2,2,7,27,13,21,15,17,12,23,16,11,5,,-4065.0,,,,,,,,
38,1,5,2,2,5,2,1,4,3,0,2,3,1,11,3,10,0,2,2,7,27,21,21,15,10,12,23,16,11,5,,,,,,,,,,
39,1,5,11,2,5,2,1,4,3,0,7,3,1,11,3,10,0,2,2,7,12,21,21,15,10,12,23,16,11,5,,,-3105.0,,,,,,,
40,1,5,11,2,3,2,1,1,3,0,7,3,1,11,3,10,1,2,2,7,12,11,28,15,10,12,12,16,11,5,,,,,-18050.0,,,-6080.0,,
41,1,5,11,2,3,2,1,1,4,0,7,3,1,11,3,10,1,2,2,7,12,11,28,15,24,12,12,20,11,5,,,,,,,,,-55055.0,
42,1,2,2,2,3,9,1,1,4,0,7,3,12,11,3,10,1,2,2,7,12,11,7,15,24,12,12,20,25,5,,-28055.0,-31035.0,,,-11060.0,,,,
43,1,2,2,2,3,2,1,1,4,4,7,3,2,11,1,0,1,0,2,7,12,26,25,15,16,24,12,12,25,5,,,,,,-9120.0,,,,-7025.0
44,5,2,2,2,3,2,1,1,4,4,7,3,2,11,1,0,1,0,2,7,12,26,25,15,16,24,12,12,15,9,-8060.0,,,,,,,,,
45,5,2,2,2,3,2,1,1,4,4,7,0,3,11,1,0,1,0,2,7,27,19,24,15,16,24,12,12,15,9,,,,,,,,,,
46,5,2,2,2,3,2,6,1,4,4,7,0,3,11,1,2,1,0,2,0,27,19,24,15,16,12,12,12,15,6,,,,,,,-2060.0,,,
47,5,2,2,2,3,2,6,1,1,4,3,0,3,11,1,2,1,0,2,0,21,19,24,15,16,12,27,12,15,6,,,,,,,,,-16075.0,
48,5,2,2,5,3,2,6,1,1,4,3,0,3,11,1,2,1,0,2,0,21,19,24,15,16,12,27,12,25,6,,,,-13075.0,,,,,,
49,5,2,2,5,7,2,6,1,1,12,3,0,3,1,1,2,3,0,2,0,21,19,24,21,16,12,15,12,25,6,,,,,-4080.0,,,-60.0,,-34030.0
50,7,8,2,5,7,2,5,1,1,12,3,0,3,1,1,2,3,0,0,0,21,19,24,21,27,12,15,23,17,29,-27105.0,-2095.0,,,,,-29075.0,,,
51,7,8,2,5,7,2,5,1,1,12,3,0,3,1,1,2,3,0,0,0,21,19,24,21,27,12,15,23,17,29,,,,,,,,,,
52,7,8,2,5,7,2,5,1,1,12,3,0,3,1,3,2,3,0,0,0,21,19,24,21,15,12,15,23,17,29,,,,,,,,,,
53,7,4,4,5,4,2,5,1,1,1,3,0,3,1,3,2,0,11,0,5,11,9,24,21,15,12,8,2,17,14,,-18045.0,-5120.0,-5105.0,-10075.0,,,,,-14070.0
54,7,4,4,5,4,6,5,1,1,1,3,0,3,1,3,2,0,11,0,5,11,27,24,22,20,12,8,2,17,25,,,,,,-3060.0,,,,
55,2,4,4,5,4,6,5,1,7,1,3,0,3,1,3,2,0,11,0,5,11,27,24,22,20,12,8,2,17,25,-10055.0,,,,,,,,-1085.0,
56,2,4,4,5,4,6,5,1,7,1,3,0,6,0,4,2,0,11,0,0,24,27,11,13,9,12,8,2,17,20,,,,,,,,,,
57,2,4,4,5,4,6,5,1,7,1,3,1,6,0,4,1,0,11,0,0,24,16,11,13,9,3,8,2,17,20,,,,,,,-5040.0,,,
58,2,4,4,3,4,5,5,3,7,1,1,1,6,0,4,1,0,11,2,0,16,16,11,13,9,3,19,2,5,20,,,,-4065.0,,-17015.0,,-61010.0,,
59,2,4,4,3,4,5,5,3,1,1,1,1,6,0,4,1,0,1,2,0,16,16,11,22,9,28,19,10,5,20,,,,,,,,,-18025.0,
60,2,4,2,3,4,5,5,3,1,1,1,1,6,0,4,1,0,1,2,0,16,16,11,22,9,28,19,10,27,20,,,-20055.0,,,,,,,
61,2,4,2,3,4,5,5,3,1,1,1,1,6,0,4,1,0,1,2,0,16,16,20,12,9,28,9,10,27,20,,,,,,,,,,
62,2,10,2,3,4,5,5,3,1,1,1,1,6,0,4,1,0,1,2,0,16,16,20,12,9,18,9,10,27,20,,-4080.0,,,,,,,,
63,2,10,2,3,2,5,5,5,1,1,1,1,0,0,4,1,0,1,0,0,16,22,16,12,9,18,9,10,19,20,,,,,-8045.0,,,-4050.0,,
64,2,10,2,3,2,5,9,5,1,1,1,1,0,0,4,1,0,1,0,0,16,22,16,12,19,18,9,13,19,20,,,,,,-5090.0,-5045.0,,,
65,2,4,2,6,2,5,9,5,1,8,1,4,0,0,4,1,0,1,0,0,16,9,16,12,19,25,10,13,19,20,,-12045.0,,-3060.0,,,,,,-100.0
66,2,4,2,6,2,5,9,5,1,8,1,4,0,0,3,1,0,0,0,0,16,13,16,17,10,25,10,4,19,20,-2080.0,,,,,,,,,
67,2,4,2,6,2,5,9,5,10,8,1,4,0,0,3,0,0,0,0,0,25,13,16,17,10,16,10,4,19,20,,,,,,,,,-1095.0,
68,2,4,2,6,2,5,4,5,10,6,1,3,0,1,3,0,0,0,0,3,25,4,16,6,10,16,0,4,27,7,,,,,,,-9000.0,-15020.0,,-51035.0
69,2,4,3,2,4,5,4,5,10,6,7,3,0,1,3,0,0,0,0,3,9,4,16,6,10,16,18,19,27,24,,,-1080.0,-7030.0,-5050.0,,,,,
70,2,4,3,2,4,5,4,5,10,6,7,3,0,1,3,0,0,0,1,3,9,4,17,22,10,16,18,19,16,24,,,,,,,,,-40080.0,
71,2,4,3,2,4,1,4,5,10,6,7,3,0,1,3,0,0,0,1,3,9,4,17,22,10,16,18,19,22,24,,,,,,-5080.0,,,,
72,2,4,3,2,4,1,4,5,10,6,7,3,3,1,0,0,2,4,1,2,9,4,4,22,3,28,6,5,22,15,,,,,,,,,,
73,7,4,3,2,4,1,4,5,10,6,7,3,3,6,0,0,2,4,1,2,9,4,4,7,3,28,6,5,12,15,-39045.0,,,,,,,,,
74,7,4,3,2,4,1,4,5,10,6,7,3,3,6,0,2,2,4,1,2,28,4,4,7,3,16,6,5,12,15,,,,,,,,,,
75,7,4,3,2,4,1,4,5,10,6,7,3,3,6,0,2,2,4,1,2,28,4,4,7,3,16,6,5,12,15,,,,,,,,-8025.0,,
76,7,4,12,2,3,1,4,5,10,5,6,3,3,6,0,2,2,4,1,2,19,4,4,7,3,16,6,22,12,15,,,-26020.0,,-23015.0,,,,,-8075.0
77,1,11,12,2,3,1,4,5,10,5,6,3,3,6,0,2,2,4,1,2,19,4,21,7,28,16,6,22,12,19,-33095.0,-7020.0,,,,,-5030.0,,,
78,1,11,12,0,3,1,4,5,1,5,6,3,3,6,0,2,2,4,1,2,19,19,21,7,28,16,24,22,12,19,,,,-8035.0,,,,,-11060.0,
79,1,11,12,0,3,1,4,5,1,5,6,3,3,6,0,2,2,3,1,1,19,19,21,29,28,16,24,13,25,10,,,,,,,,,,
80,1,11,3,0,3,3,4,5,1,5,0,3,11,6,7,2,2,3,1,1,15,19,3,29,11,16,24,13,25,10,,,-30015.0,,,-3080.0,,,,
81,1,5,3,0,3,3,4,5,1,5,0,0,1,3,7,2,5,3,1,1,15,12,5,22,11,24,11,13,25,10,,-19060.0,,,,,,,,
82,1,5,3,0,3,3,4,4,1,5,0,0,1,3,7,2,5,3,8,1,15,21,5,22,11,24,11,13,8,10,,,,,,,,-18065.0,,
83,1,5,3,0,3,3,4,4,1,11,0,0,2,3,7,5,5,3,8,1,15,21,4,22,11,11,11,16,8,10,,,,,,,,,,-6050.0
84,1,5,3,0,3,3,4,4,1,11,0,0,2,3,7,5,5,3,8,1,15,11,4,22,11,11,11,16,8,22,,,,,,,-39055.0,,,
85,1,5,3,0,2,3,4,4,1,11,0,0,2,3,7,5,5,0,8,1,15,11,4,22,11,11,27,9,8,22,,,,,-30055.0,,,,,
86,1,5,3,5,2,3,4,4,1,3,0,0,2,3,7,5,5,0,8,0,15,11,4,22,16,11,27,9,8,13,,,,-13110.0,,,,,,-10065.0
87,1,5,3,5,2,3,4,4,1,3,0,0,2,3,7,5,0,0,8,0,15,11,4,22,16,11,22,9,8,25,-1075.0,,,,,,,,,
88,1,5,3,5,2,6,4,4,1,3,0,0,2,3,0,5,0,0,8,0,18,11,4,22,13,11,22,9,8,25,,,,,,-27055.0,,,,
89,1,5,3,5,2,6,4,4,1,3,0,0,2,10,0,5,0,0,8,0,18,11,4,5,13,19,22,9,8,25,,,,,,,,,,
90,1,5,3,5,2,6,4,4,1,3,5,0,2,10,0,5,0,0,8,6,3,11,4,5,13,19,22,9,8,9,,,,,,,,,,
91,1,6,3,0,2,6,1,10,6,3,5,0,2,10,0,0,0,0,8,6,3,11,4,5,13,14,22,9,8,9,,-5055.0,,-45025.0,,,-4110.0,-4045.0,-8040.0,
92,1,6,6,0,2,6,1,10,6,3,5,0,2,0,0,0,0,0,8,6,3,11,4,23,13,14,29,22,8,9,,,-5020.0,,,,,,,
93,1,6,6,0,0,2,1,10,6,3,5,0,2,0,0,0,0,0,8,6,3,11,29,23,13,14,29,22,8,9,,,,,-2065.0,-6070.0,,,,
94,5,6,6,0,0,2,1,10,6,3,5,0,2,5,0,0,0,0,1,6,3,1,29,18,21,27,19,22,5,9,-26015.0,,,,,,,,,
95,5,6,6,0,0,2,1,1,6,3,5,0,2,5,0,0,0,7,1,6,22,1,29,18,21,27,19,5,5,9,,,,,,,,-36025.0,,
96,5,6,6,0,0,2,1,1,5,3,5,0,13,5,1,2,0,7,1,6,22,1,8,18,10,15,19,19,5,9,,,,,,,,,-37025.0,
97,5,0,7,0,0,2,1,1,5,3,5,0,13,5,1,2,0,7,1,6,22,1,8,18,10,15,19,19,27,9,,-5005.0,-39040.0,,,,,,,
98,5,0,7,0,0,2,1,1,5,1,16,0,3,5,1,2,0,7,1,6,1,22,23,18,10,15,19,19,27,9,,,,,,,,,,-8045.0
