,meanReorderPoints,node1InventoryMeans,node0InventoryMeans,rewardMeans
0,4.771228771228771,3.1923076923076925,13.427586206896551,-8413.5
1,4.9250749250749255,2.5,12.744525547445255,-10959.133333333333
2,5.1678321678321675,1.6578947368421053,12.312977099236642,-7259.189189189189
3,4.944055944055944,2.0,13.013793103448275,-8173.141891891892
4,4.841158841158841,1.8235294117647058,13.135714285714286,-10887.3
5,4.580419580419581,3.4642857142857144,14.293233082706767,-19571.655405405407
6,4.945054945054945,3.2037037037037037,12.6,-9821.68918918919
7,5.2257742257742255,4.458333333333333,12.41095890410959,-6962.3
8,4.985014985014985,3.5,18.89189189189189,-4774.0
9,4.959040959040959,2.962962962962963,13.43884892086331,-7517.582781456954
